objectId,featureCode,countryCode,cityId,ACL,name,population,updatedAt,location,country,createdAt,adminCode
5bjJaUrmPv,PPLA,EG,347497,null,Tanda,404901,Thu Dec 12 2019 22:10:44 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":30.78847,""longitude"":31.00192}",Egypt,Thu Dec 12 2019 22:10:44 GMT+0200 (Eastern European Standard Time),05
ver4Vxr1Lk,PPL,EG,347612,null,Talā,51498,Thu Dec 12 2019 22:10:44 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":30.68025,""longitude"":30.94292}",Egypt,Thu Dec 12 2019 22:10:44 GMT+0200 (Eastern European Standard Time),09
mIKGV9NPU6,PPL,EG,349717,null,Samālūţ,90465,Thu Dec 12 2019 22:10:44 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":28.31214,""longitude"":30.71007}",Egypt,Thu Dec 12 2019 22:10:44 GMT+0200 (Eastern European Standard Time),10
GWgjBe9JCf,PPL,EG,346030,null,Ziftá,92667,Thu Dec 12 2019 22:10:44 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":30.7142,""longitude"":31.24425}",Egypt,Thu Dec 12 2019 22:10:44 GMT+0200 (Eastern European Standard Time),05
X1PBVxF7vF,PPL,EG,348112,null,Sīdī Sālim,47998,Thu Dec 12 2019 22:10:44 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":31.27133,""longitude"":30.78617}",Egypt,Thu Dec 12 2019 22:10:44 GMT+0200 (Eastern European Standard Time),21
K99XO01KEN,PPLA,EG,347796,null,Sohag,209419,Thu Dec 12 2019 22:10:44 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":26.55695,""longitude"":31.69478}",Egypt,Thu Dec 12 2019 22:10:44 GMT+0200 (Eastern European Standard Time),24
OUJptA2Etg,PPL,EG,347749,null,Sumusţā as Sulţānī,37260,Thu Dec 12 2019 22:10:44 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":28.91667,""longitude"":30.85}",Egypt,Thu Dec 12 2019 22:10:44 GMT+0200 (Eastern European Standard Time),18
VCyDZB7coP,PPLA2,EG,350350,null,Rafaḩ,0,Thu Dec 12 2019 22:10:44 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":31.28204,""longitude"":34.23869}",Egypt,Thu Dec 12 2019 22:10:44 GMT+0200 (Eastern European Standard Time),27
my4CZgUaAP,PPL,EG,350207,null,Ras Gharib,32000,Thu Dec 12 2019 22:10:44 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":28.35831,""longitude"":33.07829}",Egypt,Thu Dec 12 2019 22:10:44 GMT+0200 (Eastern European Standard Time),02
GFOwRB0XlM,PPL,EG,349340,null,Sharm el-Sheikh,12000,Thu Dec 12 2019 22:10:44 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":27.91582,""longitude"":34.32995}",Egypt,Thu Dec 12 2019 22:10:44 GMT+0200 (Eastern European Standard Time),26
h7VzeQCjcw,PPL,EG,347634,null,Ţahţā,90591,Thu Dec 12 2019 22:10:44 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":26.7693,""longitude"":31.50214}",Egypt,Thu Dec 12 2019 22:10:44 GMT+0200 (Eastern European Standard Time),24
Z81MLCrxXJ,PPL,EG,349156,null,Shibīn al Qanāṭir,56872,Thu Dec 12 2019 22:10:44 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":30.31269,""longitude"":31.32018}",Egypt,Thu Dec 12 2019 22:10:44 GMT+0200 (Eastern European Standard Time),12
ozZTCUBkEC,PPL,EG,347591,null,Ţalkhā,157737,Thu Dec 12 2019 22:10:44 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":31.0539,""longitude"":31.37787}",Egypt,Thu Dec 12 2019 22:10:44 GMT+0200 (Eastern European Standard Time),01
LHTqk2eL9G,PPL,EG,347236,null,Toukh,67599,Thu Dec 12 2019 22:10:44 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":30.35394,""longitude"":31.20071}",Egypt,Thu Dec 12 2019 22:10:44 GMT+0200 (Eastern European Standard Time),12
STWA8xL7qO,PPL,EG,350203,null,Rosetta,64481,Thu Dec 12 2019 22:10:44 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":31.39951,""longitude"":30.41718}",Egypt,Thu Dec 12 2019 22:10:44 GMT+0200 (Eastern European Standard Time),03
aGeAgAVNcq,PPLA,EG,349158,null,Shibīn al Kawm,186345,Thu Dec 12 2019 22:10:44 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":30.55258,""longitude"":31.00904}",Egypt,Thu Dec 12 2019 22:10:44 GMT+0200 (Eastern European Standard Time),09
UBTWBj16nK,PPL,EG,347863,null,Siwa Oasis,7000,Thu Dec 12 2019 22:10:44 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":29.2032,""longitude"":25.51965}",Egypt,Thu Dec 12 2019 22:10:44 GMT+0200 (Eastern European Standard Time),22
0EyQ8AUaFP,PPL,EG,349715,null,Samannūd,54980,Thu Dec 12 2019 22:10:44 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":30.9616,""longitude"":31.24069}",Egypt,Thu Dec 12 2019 22:10:44 GMT+0200 (Eastern European Standard Time),05
RDLqiZH6RB,PPL,EG,349114,null,Shirbīn,54676,Thu Dec 12 2019 22:10:44 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":31.19688,""longitude"":31.5243}",Egypt,Thu Dec 12 2019 22:10:44 GMT+0200 (Eastern European Standard Time),01
MsVFr0Mjwd,PPL,EG,347542,null,Ţāmiyah,46866,Thu Dec 12 2019 22:10:44 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":29.47639,""longitude"":30.96119}",Egypt,Thu Dec 12 2019 22:10:44 GMT+0200 (Eastern European Standard Time),04
StIbt5VkBV,PPL,EG,350370,null,Quwaysinā,42708,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":30.56482,""longitude"":31.15777}",Egypt,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),09
0D37buPOCC,PPL,EG,352354,null,Munūf,83651,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":30.46597,""longitude"":30.93199}",Egypt,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),09
kFpWRbnMCn,PPL,EG,350893,null,Nuwaybi‘a,5000,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":29.04681,""longitude"":34.6634}",Egypt,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),26
jQcSh5mi2n,PPL,EG,352344,null,Minyat an Naşr,56951,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":31.12624,""longitude"":31.64313}",Egypt,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),01
EeDfd0gLwJ,PPL,EG,350422,null,Kousa,60181,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":25.91407,""longitude"":32.76362}",Egypt,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),23
Ifu7beIojF,PPL,EG,352679,null,Mashtūl as Sūq,45798,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":30.36056,""longitude"":31.3776}",Egypt,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),14
OpfFtsvmA2,PPL,EG,352913,null,Manfalūţ,78744,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":27.3104,""longitude"":30.97004}",Egypt,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),17
aTKklRevFU,PPL,EG,350661,null,Qaşr al Farāfirah,5000,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":27.0568,""longitude"":27.96979}",Egypt,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),13
Oj9mXsylYJ,PPL,EG,350376,null,Quţūr,23842,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":30.97225,""longitude"":30.95614}",Egypt,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),05
bIC24fR2yR,PPLA,EG,352733,null,Mersa Matruh,62042,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":31.3529,""longitude"":27.23725}",Egypt,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),22
JHg2QjJMoC,PPL,EG,353219,null,Madīnat Sittah Uktūbar,41930,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":29.81667,""longitude"":31.05}",Egypt,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),08
2RfBLHgLRT,PPL,EG,352951,null,Mallawī,142504,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":27.7314,""longitude"":30.84165}",Egypt,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),10
cqeRld4TuT,PPL,EG,350789,null,Qalyūb,100495,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":30.17922,""longitude"":31.2056}",Egypt,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),12
YcxmsE3Sk8,PPL,EG,351434,null,Naja' Ḥammādī,41184,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":26.04949,""longitude"":32.24142}",Egypt,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),23
H2rC3EmLss,PPLA,EG,350550,null,Qinā,235362,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":26.16418,""longitude"":32.72671}",Egypt,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),23
x9HnBLxkKk,PPL,EG,353828,null,Kawm Ḩamādah,36751,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":30.76095,""longitude"":30.69733}",Egypt,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),03
rSx2JDzuRq,PPL,EG,352736,null,Marsa Alam,10000,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":25.06305,""longitude"":34.89005}",Egypt,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),02
aaYrznDStW,PPLA2,EG,353471,null,Ash Shaykh Zuwayd,0,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":31.2163,""longitude"":34.11074}",Egypt,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),27
7s42xD8WaE,PPL,EG,352628,null,Maţāy,45215,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":28.41899,""longitude"":30.77924}",Egypt,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),10
LarkWkrS6U,PPL,EG,353802,null,Kawm Umbū,59787,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":24.47669,""longitude"":32.94626}",Egypt,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),16
03hjRiiZgI,PPL,EG,354775,null,Kafr ad Dawwār,267370,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":31.13379,""longitude"":30.12969}",Egypt,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),03
nsInMbMARY,PPLA,EG,354502,null,Kafr ash Shaykh,143970,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":31.11174,""longitude"":30.93991}",Egypt,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),21
HFvGLX2O6a,PPL,EG,354105,null,Kafr Şaqr,34967,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":30.79336,""longitude"":31.62575}",Egypt,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),14
cui0kX6Lry,PPL,EG,354981,null,Juhaynah,47821,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":26.67319,""longitude"":31.4976}",Egypt,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),24
c50l4Pwo0e,PPL,EG,354365,null,Kafr az Zayyāt,73725,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":30.8248,""longitude"":30.81805}",Egypt,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),05
veOlN2nngg,PPL,EG,355635,null,Idfū,133000,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":24.97916,""longitude"":32.87722}",Egypt,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),16
dkEagCKW8B,PPL,EG,355449,null,Isnā,69335,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":25.29336,""longitude"":32.55402}",Egypt,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),23
LuFnOYUuaA,PPL,EG,356000,null,Ḩawsh ‘Īsá,85352,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":30.9128,""longitude"":30.29019}",Egypt,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),03
A7l8db5tAr,PPL,EG,355648,null,Ibshawāy,51173,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":29.35805,""longitude"":30.68142}",Egypt,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),04
WzbQ724XCf,PPL,EG,355026,null,Jirjā,128250,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":26.33826,""longitude"":31.89161}",Egypt,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),24
hxjagPaoYE,PPL,EG,355628,null,Idkū,105599,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":31.3073,""longitude"":30.2981}",Egypt,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),03
jmaRA5s9Ow,PPL,EG,355795,null,Ḩalwān,230000,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":29.84144,""longitude"":31.30084}",Egypt,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),11
VDlewPVxTY,PPL,EG,355392,null,‘Izbat al Burj,37953,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":31.5084,""longitude"":31.84106}",Egypt,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),01
Xu8dsiogYW,PPL,EG,355939,null,Hihyā,43432,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":30.6713,""longitude"":31.58801}",Egypt,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),14
KrxlM656gq,PPL,EG,355420,null,Iţsā,45269,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":29.2376,""longitude"":30.78944}",Egypt,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),04
K7T6WeFy8h,PPL,EG,356933,null,Farshūţ,53851,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":26.05494,""longitude"":32.16329}",Egypt,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),23
QNgwItjhnJ,PPL,EG,356806,null,Fuwwah,63310,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":31.20365,""longitude"":30.54908}",Egypt,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),21
IAkccDRIsx,PPL,EG,356989,null,Fāqūs,62821,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":30.72816,""longitude"":31.79697}",Egypt,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),14
NWFFdHT6rD,PPL,EG,356945,null,Fāraskūr,58284,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":31.32977,""longitude"":31.71507}",Egypt,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),20
UY9rF9VZQu,PPLA,EG,358048,null,Damietta,76839,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":31.41648,""longitude"":31.81332}",Egypt,Thu Dec 12 2019 22:10:45 GMT+0200 (Eastern European Standard Time),20
lwNHCC3RKL,PPL,EG,358095,null,Diyarb Najm,51841,Thu Dec 12 2019 22:10:46 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":30.75438,""longitude"":31.44016}",Egypt,Thu Dec 12 2019 22:10:46 GMT+0200 (Eastern European Standard Time),14
KrjdFS1mDc,PPLA,EG,358619,null,Port Said,538378,Thu Dec 12 2019 22:10:46 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":31.25654,""longitude"":32.28411}",Egypt,Thu Dec 12 2019 22:10:46 GMT+0200 (Eastern European Standard Time),19
WS9F1gqJGi,PPL,EG,358172,null,Dikirnis,137542,Thu Dec 12 2019 22:10:46 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":31.08898,""longitude"":31.59478}",Egypt,Thu Dec 12 2019 22:10:46 GMT+0200 (Eastern European Standard Time),01
Y8cVlmldtM,PPL,EG,358115,null,Dishnā,54197,Thu Dec 12 2019 22:10:46 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":26.12467,""longitude"":32.47598}",Egypt,Thu Dec 12 2019 22:10:46 GMT+0200 (Eastern European Standard Time),23
dCWjxFGHDe,PPL,EG,358245,null,Dahab,8000,Thu Dec 12 2019 22:10:46 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":28.48208,""longitude"":34.49505}",Egypt,Thu Dec 12 2019 22:10:46 GMT+0200 (Eastern European Standard Time),26
wIGCZsqbRc,PPL,EG,358970,null,Basyūn,55523,Thu Dec 12 2019 22:10:46 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":30.93976,""longitude"":30.81338}",Egypt,Thu Dec 12 2019 22:10:46 GMT+0200 (Eastern European Standard Time),05
gF4Rq2DFeP,PPL,EG,358108,null,Disūq,102037,Thu Dec 12 2019 22:10:46 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":31.13259,""longitude"":30.64784}",Egypt,Thu Dec 12 2019 22:10:46 GMT+0200 (Eastern European Standard Time),21
WXSA8xJ3Js,PPL,EG,358269,null,Dayrūţ,67788,Thu Dec 12 2019 22:10:46 GMT+0200 (Eastern European Standard Time),"{""__type"":""GeoPoint"",""latitude"":27.55602,""longitude"":30.80764}",Egypt,Thu Dec 12 2019 22:10:46 GMT+0200 (Eastern European Standard Time),17
